index,string,shingles
0,bcdEFfghiIijklmNNNooPqQRRRsSSSsTTUwxxZ,"RRsS,SSSs,Uwxx,wxxZ,NNNo,ooPq,sTTU,lmNN,fghi,oPqQ,PqQR,dEFf,NooP,Iijk,SSsT,sSSS,qQRR,bcdE,EFfg,SsTT,ijkl,TUwx,cdEF,hiIi,mNNN,RRRs,ghiI,iIij,QRRR,jklm,Ffgh,klmN,NNoo,RsSS,TTUw"
1,aaaBbbCddDEEefFFgGGIiIILlLllmNNnNNNpPPPPqQqqrRRttTvVVvWwXXyYz,"aaaB,BbbC,bCdd,LlLl,RRtt,ttTv,DEEe,IiII,aaBb,GIiI,llmN,TvVV,GGIi,PPqQ,efFF,FgGG,XyYz,IILl,lmNN,dDEE,ddDE,NNpP,Qqqr,ILlL,NpPP,pPPP,NnNN,bbCd,PPPP,XXyY,mNNn,PqQq,EEef,vVVv,NNNp,vWwX,VVvW,rRRt,fFFg,iIIL,qQqq,tTvV,RttT,lLll,qrRR,NNnN,nNNN,WwXX,VvWw,wXXy,CddD,qqrR,gGGI,FFgG,aBbb,EefF,Lllm,PPPq"
2,aAAABCCdddddEeffFfFgGGggIiIKkLLlmMNoOoqqqRsstuVVWWWwxXxYzzz,"gIiI,AAAB,XxYz,oqqq,VVWW,WwxX,LLlm,ABCC,FgGG,ggIi,iIKk,dddd,KkLL,qqRs,uVVW,dddE,FfFg,GGgg,NoOo,tuVV,qRss,effF,wxXx,Cddd,IKkL,BCCd,Ooqq,xXxY,LlmM,stuV,gGGg,kLLl,mMNo,VWWW,qqqR,IiIK,ffFf,WWWw,dEef,Eeff,MNoO,fFgG,xYzz,fFfF,GggI,aAAA,lmMN,sstu,Rsst,AABC,CCdd,WWwx,Yzzz,oOoq,ddEe"
3,aBbcCCdfFGhIjjjKkMMMQQRrRRRSTtTTuuvvvvwxxXZ,"BbcC,vwxx,TTuu,jKkM,vvvv,MMQQ,CCdf,RRST,xxXZ,RSTt,fFGh,MMMQ,cCCd,wxxX,bcCC,GhIj,rRRR,CdfF,QRrR,Tuuv,vvwx,uuvv,TtTT,aBbc,tTTu,KkMM,RrRR,jjKk,vvvw,FGhI,uvvv,jjjK,MQQR,Ijjj,RRRS,dfFG,STtT,hIjj,QQRr,kMMM"
4,BCcdeeEEEEFgHHHhKllllMMmNnopPRrSstTtuUVVvVVWZ,"SstT,cdee,nopP,RrSs,tuUV,eEEE,rSst,opPR,lllM,EEEE,gHHH,llll,vVVW,VVvV,llMM,BCcd,pPRr,VvVV,HHHh,EEFg,EFgH,FgHH,stTt,Nnop,VVWZ,hKll,HhKl,MMmN,UVVv,Ccde,PRrS,EEEF,HHhK,MmNn,Klll,deeE,lMMm,eeEE,mNno,tTtu,TtuU,uUVV"
5,aBbccDDeeEeFhhHHJJJMMNPPqRRRsttWxZZZ,"PqRR,HJJJ,JMMN,eFhh,hhHH,FhhH,Bbcc,bccD,PPqR,WxZZ,NPPq,hHHJ,aBbc,EeFh,xZZZ,DDee,ttWx,RRRs,DeeE,sttW,tWxZ,eEeF,Rstt,cDDe,JJMM,eeEe,RRst,qRRR,HHJJ,ccDD,MMNP,MNPP,JJJM"
6,AACdEeEfFfhhhiJkkKKkLNOqrrrsttUUVWWXxXyYy,"fhhh,JkkK,xXyY,EfFf,kLNO,WXxX,EeEf,rrrs,hhiJ,CdEe,sttU,WWXx,iJkk,VWWX,hhhi,eEfF,Oqrr,KKkL,fFfh,dEeE,rstt,UUVW,NOqr,XxXy,XyYy,ttUU,tUUV,KkLN,AACd,LNOq,kkKK,qrrr,kKKk,UVWW,rrst,Ffhh,ACdE,hiJk"
7,AAABbbbccCCDdEEFFgGhhIiiIiJJkkKlmmmMMmMnOpqRrrRsStTttVVVvwxXyYzz,"dEEF,JkkK,Vvwx,xXyY,CDdE,gGhh,IiiI,AAAB,rRsS,VVVv,iJJk,GhhI,EFFg,TttV,DdEE,XyYz,nOpq,kkKl,bccC,mMnO,MmMn,hhIi,pqRr,lmmm,rrRs,EEFF,VVvw,yYzz,ccCC,vwxX,wxXy,FgGh,RrrR,mmmM,MnOp,iIiJ,MMmM,AABb,OpqR,sStT,IiJJ,Bbbb,iiIi,StTt,tTtt,cCCD,JJkk,Klmm,tVVV,kKlm,hIii,ABbb,qRrr,RsSt,bbbc,CCDd,ttVV,bbcc,FFgG,mMMm,mmMM"
8,aAcdddeEFffFfGhhjKLLLLnPpPQSsTuuuvXXx,"hhjK,ddeE,FfGh,fFfG,EFff,cddd,PQSs,LLLL,ddde,Ghhj,FffF,LLLn,deEF,vXXx,PpPQ,fGhh,nPpP,SsTu,pPQS,ffFf,hjKL,uvXX,aAcd,QSsT,LnPp,jKLL,Acdd,uuuv,LLnP,sTuu,KLLL,uuvX,Tuuu,eEFf"
9,bBBBCcCDDDddDEeeEEfFFFGGhhhIijlmmOoPPppqqRSsstTtttUvwyYYzz,"FFGG,DEee,cCDD,GGhh,hhhI,lmmO,oPPp,DDdd,bBBB,mmOo,qRSs,ttUv,OoPP,dDEe,yYYz,ddDE,EfFF,Ghhh,tUvw,hhIi,pqqR,eEEf,YYzz,BBBC,ijlm,EEfF,fFFF,CDDD,Iijl,qqRS,stTt,RSss,BCcC,Ssst,BBCc,hIij,Pppq,Uvwy,tTtt,ppqq,sstT,mOoP,jlmm,tttU,PPpp,Tttt,DddD,EeeE,wyYY,vwyY,DDDd,eeEE,CcCD,FFFG,FGGh"
10,aaaCdDDDeFGhHHHIiIjJJJKLLLmnOooPpPQqqqttuUVvVVWWWXyYZzzzZ,"qqtt,DeFG,OooP,nOoo,IjJJ,aaCd,GhHH,UVvV,tuUV,VVWW,IiIj,jJJJ,Zzzz,DDeF,eFGh,oPpP,Qqqq,WWXy,HHHI,qttu,ooPp,LmnO,vVVW,uUVv,yYZz,zzzZ,pPQq,PpPQ,VvVV,PQqq,JJJK,WWWX,WXyY,HIiI,JKLL,VWWW,LLLm,hHHH,HHIi,FGhH,mnOo,JJKL,iIjJ,XyYZ,CdDD,KLLL,aaaC,LLmn,qqqt,dDDD,YZzz,ttuU,DDDe,aCdD"
