Date,features_vector,label
2009-08-11,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-12,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-13,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-14,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-15,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-16,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-17,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-18,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-19,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-20,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-21,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-22,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-23,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-24,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-25,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-08-26,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",21.19
2009-09-21,"[21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",22.14
2009-09-22,"[22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",22.28
2009-09-23,"[22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",22.32
2009-09-24,"[22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19,21.19]",22.28
2009-09-25,"[22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19,21.19]",22.13
2009-09-26,"[22.13,22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19,21.19]",22.09
2009-09-27,"[22.09,22.13,22.28,22.32,22.28,22.14,21.19,21.19,21.19,21.19]",22.09
