Date,label,features_cur_str
2009-08-11,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-12,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-13,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-14,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-15,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-16,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-17,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-18,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-19,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-20,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-21,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-22,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-23,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-24,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-25,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-08-26,21.19,"21.19,21.19,21.19,21.19,21.19"
2009-09-21,22.14,"21.19,21.19,21.19,21.19,21.19"
2009-09-22,22.28,"21.19,21.19,21.19,21.19,21.19"
2009-09-23,22.32,"21.19,21.19,21.19,21.19,22.14"
2009-09-24,22.28,"21.19,21.19,21.19,21.19,22.28"
2009-09-25,22.13,"22.14,21.19,21.19,21.19,22.32"
2009-09-26,22.09,"22.28,21.19,21.19,21.19,22.28"
2009-09-27,22.09,"22.32,21.19,21.19,22.14,22.13"
2009-09-28,22.12,"22.28,21.19,21.19,22.28,22.09"
2009-09-29,22.14,"22.13,21.19,22.14,22.32,22.09"
2009-09-30,22.24,"22.09,21.19,22.28,22.28,22.12"
2009-10-01,22.3,"22.09,22.14,22.32,22.13,22.14"
2009-10-02,22.23,"22.12,22.28,22.28,22.09,22.24"
2009-10-03,22.27,"22.14,22.32,22.13,22.09,22.3"
2009-10-04,22.27,"22.24,22.28,22.09,22.12,22.23"
2009-10-05,22.32,"22.3,22.13,22.09,22.14,22.27"
2009-10-06,22.56,"22.23,22.09,22.12,22.24,22.27"
2009-10-07,22.99,"22.27,22.09,22.14,22.3,22.32"
2009-10-08,23.19,"22.27,22.12,22.24,22.23,22.56"
2009-10-09,23.09,"22.32,22.14,22.3,22.27,22.99"
2009-10-10,23.12,"22.56,22.24,22.23,22.27,23.19"
2009-10-11,23.12,"22.99,22.3,22.27,22.32,23.09"
2009-10-12,23.2,"23.19,22.23,22.27,22.56,23.12"
2009-10-13,23.55,"23.09,22.27,22.32,22.99,23.12"
2009-10-14,23.84,"23.12,22.27,22.56,23.19,23.2"
2009-10-15,23.64,"23.12,22.32,22.99,23.09,23.55"
2009-10-16,23.52,"23.2,22.56,23.19,23.12,23.84"
2009-10-17,23.62,"23.55,22.99,23.09,23.12,23.64"
2009-10-18,23.62,"23.84,23.19,23.12,23.2,23.52"
2009-10-19,23.7,"23.64,23.09,23.12,23.55,23.62"
2009-10-20,23.89,"23.52,23.12,23.2,23.84,23.62"
2009-10-21,23.79,"23.62,23.12,23.55,23.64,23.7"
2009-10-22,23.85,"23.62,23.2,23.84,23.52,23.89"
2009-10-23,23.94,"23.7,23.55,23.64,23.62,23.79"
2009-10-24,23.94,"23.89,23.84,23.52,23.62,23.85"
2009-10-25,23.94,"23.79,23.64,23.62,23.7,23.94"
2009-10-26,23.95,"23.85,23.52,23.62,23.89,23.94"
2009-10-27,23.86,"23.94,23.62,23.7,23.79,23.94"
2009-10-28,23.85,"23.94,23.62,23.89,23.85,23.95"
2009-10-29,23.78,"23.94,23.7,23.79,23.94,23.86"
2009-10-30,23.85,"23.95,23.89,23.85,23.94,23.85"
2009-10-31,23.88,"23.86,23.79,23.94,23.94,23.78"
2009-11-01,23.88,"23.85,23.85,23.94,23.95,23.85"
2009-11-02,23.95,"23.78,23.94,23.94,23.86,23.88"
2009-11-03,24.06,"23.85,23.94,23.95,23.85,23.88"
2009-11-04,24.75,"23.88,23.94,23.86,23.78,23.95"
2009-11-05,24.75,"23.88,23.95,23.85,23.85,24.06"
2009-11-06,25.36,"23.95,23.86,23.78,23.88,24.75"
2009-11-07,25.4,"24.06,23.85,23.85,23.88,24.75"
2009-11-08,25.4,"24.75,23.78,23.88,23.95,25.36"
2009-11-09,26.5,"24.75,23.85,23.88,24.06,25.4"
2009-11-10,26.75,"25.36,23.88,23.95,24.75,25.4"
2009-11-11,27.5,"25.4,23.88,24.06,24.75,26.5"
2009-11-12,26.0,"25.4,23.95,24.75,25.36,26.75"
2009-11-13,26.3,"26.5,24.06,24.75,25.4,27.5"
2009-11-14,26.8,"26.75,24.75,25.36,25.4,26.0"
2009-11-15,26.8,"27.5,24.75,25.4,26.5,26.3"
2009-11-16,26.8,"26.0,25.36,25.4,26.75,26.8"
2009-11-17,26.9,"26.3,25.4,26.5,27.5,26.8"
2009-11-18,27.17,"26.8,25.4,26.75,26.0,26.8"
2009-11-19,27.1,"26.8,26.5,27.5,26.3,26.9"
2009-11-20,27.36,"26.8,26.75,26.0,26.8,27.17"
2009-11-21,27.58,"26.9,27.5,26.3,26.8,27.1"
2009-11-22,27.58,"27.17,26.0,26.8,26.8,27.36"
2009-11-23,28.45,"27.1,26.3,26.8,26.9,27.58"
2009-11-24,28.57,"27.36,26.8,26.8,27.17,27.58"
2009-11-25,28.6,"27.58,26.8,26.9,27.1,28.45"
2009-11-26,28.68,"27.58,26.8,27.17,27.36,28.57"
2009-11-27,28.2,"28.45,26.9,27.1,27.58,28.6"
2009-11-28,28.25,"28.57,27.17,27.36,27.58,28.68"
2009-11-29,28.25,"28.6,27.1,27.58,28.45,28.2"
2009-11-30,28.0,"28.68,27.36,27.58,28.57,28.25"
2009-12-01,28.42,"28.2,27.58,28.45,28.6,28.25"
2009-12-02,28.7,"28.25,27.58,28.57,28.68,28.0"
2009-12-03,28.6,"28.25,28.45,28.6,28.2,28.42"
2009-12-04,28.53,"28.0,28.57,28.68,28.25,28.7"
2009-12-05,28.15,"28.42,28.6,28.2,28.25,28.6"
2009-12-06,28.15,"28.7,28.68,28.25,28.0,28.53"
2009-12-07,27.9,"28.6,28.2,28.25,28.42,28.15"
2009-12-08,28.06,"28.53,28.25,28.0,28.7,28.15"
2009-12-09,27.68,"28.15,28.25,28.42,28.6,27.9"
2009-12-10,27.37,"28.15,28.0,28.7,28.53,28.06"
2009-12-11,27.3,"27.9,28.42,28.6,28.15,27.68"
2009-12-12,26.9,"28.06,28.7,28.53,28.15,27.37"
2009-12-13,26.9,"27.68,28.6,28.15,27.9,27.3"
2009-12-14,26.92,"27.37,28.53,28.15,28.06,26.9"
2009-12-15,27.0,"27.3,28.15,27.9,27.68,26.9"
2009-12-16,27.13,"26.9,28.15,28.06,27.37,26.92"
2009-12-17,27.22,"26.9,27.9,27.68,27.3,27.0"
2009-12-18,26.86,"26.92,28.06,27.37,26.9,27.13"
2009-12-19,27.1,"27.0,27.68,27.3,26.9,27.22"
2009-12-20,27.1,"27.13,27.37,26.9,26.92,26.86"
2009-12-21,27.02,"27.22,27.3,26.9,27.0,27.1"
2009-12-22,26.68,"26.86,26.9,26.92,27.13,27.1"
2009-12-23,26.23,"27.1,26.9,27.0,27.22,27.02"
2009-12-24,26.5,"27.1,26.92,27.13,26.86,26.68"
2009-12-25,26.56,"27.02,27.0,27.22,27.1,26.23"
2009-12-26,26.6,"26.68,27.13,26.86,27.1,26.5"
2009-12-27,26.6,"26.23,27.22,27.1,27.02,26.56"
2009-12-28,26.88,"26.5,26.86,27.1,26.68,26.6"
2009-12-29,26.65,"26.56,27.1,27.02,26.23,26.6"
